.1	.057427766634705134	.0656123280588113	12.474121352270833
.15	.07199877839608013	.0656123280588113	9.733613371475498
.2	.09062363508391585	.0656123280588113	38.11982864361372
.25	.11310476105150186	.0656123280588113	72.38339866575217
.3	.13843766503154156	.0656123280588113	110.99337445769888
.35	.16609076953363752	.0656123280588113	153.13957673436437
.4	.1962988235479214	.0656123280588113	199.17978732894505
.45	.22813607935990007	.0656123280588113	247.70307061107687
.5	.2622090332050015	.0656123280588113	299.63378981153005
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
