   0.0000000e+00   5.0000000e-01  -2.5740608e-12  -5.1481215e-12  -2.9152751e-22  -5.6627939e-11  -1.1325588e-10  -1.2827051e-20  -1.2458144e-09  -2.4916288e-09   0.0000000e+00   0.0000000e+00   0.0000000e+00
   1.0000000e-02   5.0000000e-01  -3.2225262e-12   6.4450523e-12  -4.6152712e-22  -7.0895248e-11   1.4179050e-10  -2.0307155e-20  -1.5596954e-09   3.1193908e-09   4.7252369e-01   1.0340421e-09   2.8761539e-10
   2.0000000e-02   5.0000000e-01  -4.0154599e-12   8.0309199e-12  -7.1660731e-22  -8.8340924e-11   1.7668185e-10  -3.1530865e-20  -1.9435001e-09   3.8870003e-09   3.5655410e-01   1.8379744e-09   2.7328870e-10
   3.0000000e-02   5.0000000e-01  -5.0035670e-12   1.0007134e-11  -1.1126804e-21  -1.1007955e-10   2.2015910e-10  -4.8958176e-20  -2.4217503e-09   4.8435006e-09   2.8410914e-01   2.1829862e-09   8.2900282e-11
   4.0000000e-02   5.0000000e-01  -6.2348711e-12   1.2469742e-11  -1.7276802e-21  -1.3716756e-10   2.7433512e-10  -7.6018003e-20  -3.0176867e-09   6.0353734e-09   2.3677021e-01   1.6429739e-09   2.3191041e-10
   5.0000000e-02   5.0000000e-01  -7.7692451e-12   1.5538490e-11  -2.6826200e-21  -1.7092131e-10   3.4184262e-10  -1.1803455e-19  -3.7602692e-09   7.5205383e-09   2.0780667e-01   2.2078021e-06  -1.8808459e-07
   6.0000000e-02   5.0000000e-01  -9.6810081e-12   1.9362016e-11  -4.1652877e-21  -2.1298109e-10   4.2596217e-10  -1.8327232e-19  -4.6855839e-09   9.3711677e-09   1.9333768e-01   8.1811862e-06  -5.6997743e-07
   7.0000000e-02   5.0000000e-01  -1.2063016e-11   2.4126032e-11  -6.4673416e-21  -2.6539078e-10   5.3078156e-10  -2.8456539e-19  -5.8385970e-09   1.1677194e-08   1.7243744e-01   5.5268847e-06   9.6212765e-08
   8.0000000e-02   5.0000000e-01  -1.5031547e-11   3.0063094e-11  -1.0041965e-20  -3.3069728e-10   6.6139454e-10  -4.4184842e-19  -7.2753399e-09   1.4550680e-08   1.5703381e-01   2.2362552e-06   5.9192488e-07
   9.0000000e-02   5.0000000e-01  -1.8730694e-11   3.7461388e-11  -1.5592412e-20  -4.1207416e-10   8.2414833e-10  -6.8606519e-19  -9.0656318e-09   1.8131264e-08   1.4522034e-01  -1.7079195e-06   1.0528493e-06
   1.0000000e-01   5.0000000e-01  -2.3339866e-11   4.6679732e-11  -2.4210433e-20  -5.1347603e-10   1.0269521e-09  -1.0652580e-18  -1.1296473e-08   2.2592946e-08   1.3584460e-01  -3.3694148e-06   1.0497169e-06
   1.1000000e-01   5.0000000e-01  -2.9083222e-11   5.8166445e-11  -3.7591658e-20  -6.3983055e-10   1.2796612e-09  -1.6540326e-18  -1.4076272e-08   2.8152544e-08   1.2819252e-01  -3.8296236e-06   8.8909357e-07
   1.2000000e-01   5.0000000e-01  -3.6239921e-11   7.2479841e-11  -5.8368849e-20  -7.9727795e-10   1.5945559e-09  -2.5682286e-18  -1.7540115e-08   3.5080229e-08   1.2180476e-01  -2.7551355e-06   6.0100762e-07
   1.3000000e-01   5.0000000e-01  -4.5157853e-11   9.0315705e-11  -9.0629966e-20  -9.9346950e-10   1.9869390e-09  -3.9877121e-18  -2.1856329e-08   4.3712657e-08   1.1637318e-01  -1.7943945e-06   3.8059084e-07
