   0.0000000e+00   2.0897100e-01
   2.7777778e-03   2.4882580e-01
   5.5555556e-03   2.8928080e-01
   8.3333333e-03   3.3021660e-01
   1.1111111e-02   3.7150430e-01
   1.3888889e-02   4.1300250e-01
   1.6666667e-02   4.5455610e-01
   1.9444444e-02   4.9599420e-01
   2.2222222e-02   5.3713210e-01
   2.5000000e-02   5.7777550e-01
   2.7777778e-02   6.1772900e-01
   3.0555556e-02   6.5680440e-01
   3.3333333e-02   6.9483050e-01
   3.6111111e-02   7.3166020e-01
   3.8888889e-02   7.6717670e-01
   4.1666667e-02   8.0129690e-01
   4.4444444e-02   8.3397150e-01
   4.7222222e-02   8.6518390e-01
   5.0000000e-02   8.9494840e-01
   5.2777778e-02   9.2331050e-01
   5.5555556e-02   9.5034590e-01
   5.8333333e-02   9.7615750e-01
   6.1111111e-02   1.0008680e+00
   6.3888889e-02   1.0246100e+00
   6.6666667e-02   1.0475220e+00
   6.9444444e-02   1.0697310e+00
   7.2222222e-02   1.0913610e+00
   7.5000000e-02   1.1125290e+00
   7.7777778e-02   1.1333440e+00
   8.0555556e-02   1.1539020e+00
   8.3333333e-02   1.1742910e+00
   8.6111111e-02   1.1945900e+00
   8.8888889e-02   1.2148680e+00
   9.1666667e-02   1.2351830e+00
   9.4444444e-02   1.2555730e+00
   9.7222222e-02   1.2760650e+00
   1.0000000e-01   1.2966740e+00
   1.0277778e-01   1.3174110e+00
   1.0555556e-01   1.3382790e+00
   1.0833333e-01   1.3592810e+00
   1.1111111e-01   1.3804150e+00
   1.1388889e-01   1.4016780e+00
   1.1666667e-01   1.4230660e+00
   1.1944444e-01   1.4445860e+00
   1.2222222e-01   1.4662580e+00
   1.2500000e-01   1.4881180e+00
   1.2777778e-01   1.5102180e+00
   1.3055556e-01   1.5326290e+00
   1.3333333e-01   1.5554410e+00
   1.3611111e-01   1.5787650e+00
   1.3888889e-01   1.6027280e+00
   1.4166667e-01   1.6274690e+00
   1.4444444e-01   1.6531270e+00
   1.4722222e-01   1.6798260e+00
   1.5000000e-01   1.7076440e+00
   1.5277778e-01   1.7365650e+00
   1.5555556e-01   1.7664130e+00
   1.5833333e-01   1.7967640e+00
   1.6111111e-01   1.8268730e+00
   1.6388889e-01   1.8557190e+00
   1.6666667e-01   1.8822970e+00
   1.6944444e-01   1.9062540e+00
   1.7222222e-01   1.9282180e+00
   1.7500000e-01   1.9487960e+00
   1.7777778e-01   1.9677910e+00
   1.8055556e-01   1.9843580e+00
   1.8333333e-01   1.9979130e+00
   1.8611111e-01   2.0089910e+00
   1.8888889e-01   2.0193450e+00
   1.9166667e-01   2.0309700e+00
   1.9444444e-01   2.0453840e+00
   1.9722222e-01   2.0634340e+00
   2.0000000e-01   2.0849660e+00
   2.0277778e-01   2.1089120e+00
   2.0555556e-01   2.1340520e+00
   2.0833333e-01   2.1594610e+00
   2.1111111e-01   2.1842720e+00
   2.1388889e-01   2.2073120e+00
   2.1666667e-01   2.2271190e+00
   2.1944444e-01   2.2423850e+00
   2.2222222e-01   2.2525630e+00
   2.2500000e-01   2.2581830e+00
   2.2777778e-01   2.2607430e+00
   2.3055556e-01   2.2620550e+00
   2.3333333e-01   2.2633310e+00
   2.3611111e-01   2.2649730e+00
   2.3888889e-01   2.2669930e+00
   2.4166667e-01   2.2693250e+00
   2.4444444e-01   2.2722110e+00
   2.4722222e-01   2.2763760e+00
   2.5000000e-01   2.2828080e+00
   2.5277778e-01   2.2924560e+00
   2.5555556e-01   2.3059670e+00
   2.5833333e-01   2.3234340e+00
   2.6111111e-01   2.3443130e+00
   2.6388889e-01   2.3675150e+00
   2.6666667e-01   2.3915280e+00
   2.6944444e-01   2.4144410e+00
   2.7222222e-01   2.4338790e+00
   2.7500000e-01   2.4469420e+00
   2.7777778e-01   2.4504660e+00
   2.8055556e-01   2.4416510e+00
   2.8333333e-01   2.4188660e+00
   2.8611111e-01   2.3826690e+00
   2.8888889e-01   2.3367460e+00
   2.9166667e-01   2.2877460e+00
   2.9444444e-01   2.2431340e+00
   2.9722222e-01   2.2084800e+00
   3.0000000e-01   2.1865240e+00
   3.0277778e-01   2.1777100e+00
   3.0555556e-01   2.1809120e+00
   3.0833333e-01   2.1941310e+00
   3.1111111e-01   2.2148500e+00
   3.1388889e-01   2.2398980e+00
   3.1666667e-01   2.2651380e+00
   3.1944444e-01   2.2856560e+00
   3.2222222e-01   2.2970610e+00
   3.2500000e-01   2.2966490e+00
   3.2777778e-01   2.2842640e+00
   3.3055556e-01   2.2624190e+00
   3.3333333e-01   2.2357560e+00
   3.3611111e-01   2.2096250e+00
   3.3888889e-01   2.1879860e+00
   3.4166667e-01   2.1722500e+00
   3.4444444e-01   2.1618380e+00
   3.4722222e-01   2.1554630e+00
   3.5000000e-01   2.1520270e+00
   3.5277778e-01   2.1507130e+00
   3.5555556e-01   2.1507910e+00
   3.5833333e-01   2.1511440e+00
   3.6111111e-01   2.1499700e+00
   3.6388889e-01   2.1450580e+00
   3.6666667e-01   2.1344220e+00
   3.6944444e-01   2.1168730e+00
   3.7222222e-01   2.0923450e+00
   3.7500000e-01   2.0618510e+00
   3.7777778e-01   2.0272330e+00
   3.8055556e-01   1.9908100e+00
   3.8333333e-01   1.9549170e+00
   3.8611111e-01   1.9214070e+00
   3.8888889e-01   1.8912520e+00
   3.9166667e-01   1.8644610e+00
   3.9444444e-01   1.8403630e+00
   3.9722222e-01   1.8180270e+00
   4.0000000e-01   1.7966010e+00
   4.0277778e-01   1.7754610e+00
   4.0555556e-01   1.7541720e+00
