   1.2931034e-02   1.0103694e-08  -1.7476910e-02  -9.6663811e-02  -1.7476910e-02  -9.6663811e-02  -5.4445019e-02
   2.5862069e-02   1.2892491e-08   1.4188156e-01   1.5373901e-01   1.4188156e-01   1.5373901e-01  -3.3875366e-02
   3.8793103e-02   1.6451044e-08   3.1220205e-01   9.7158722e-02   3.1220205e-01   9.7158722e-02  -7.5827750e-02
   5.1724138e-02   2.0991823e-08  -2.1200607e-01  -2.9723458e-02  -2.1200607e-01  -2.9723458e-02   6.8043497e-02
   6.4655172e-02   2.6785939e-08   2.6919364e-01   2.2552019e-02   2.6919364e-01   2.2552019e-02  -8.6201784e-02
   7.7586207e-02   3.4179339e-08   3.2119384e-02   8.6916503e-02   3.2119384e-02   8.6916503e-02   9.2362201e-03
   9.0517241e-02   4.3613450e-08   3.2020831e-02   3.9928842e-02   3.2020831e-02   3.9928842e-02  -1.1285992e-02
   1.0344828e-01   5.5651542e-08   3.6311520e-02   1.0047471e-02   3.6311520e-02   1.0047471e-02  -4.4174830e-03
   1.1637931e-01   7.1012354e-08   2.4597973e-01   6.3793836e-02   2.4597973e-01   6.3793837e-02  -5.0248659e-02
   1.2931034e-01   9.0613049e-08   3.5926365e-02   1.9038174e-02   3.5926365e-02   1.9038175e-02  -3.1153984e-02
   1.4224138e-01   1.1562387e-07  -7.3906330e-02  -1.4566919e-02  -7.3906330e-02  -1.4566919e-02   1.2855271e-02
   1.5517241e-01   1.4753813e-07   2.2273888e-01   1.6677027e-01   2.2273888e-01   1.6677027e-01  -1.8471812e-02
   1.6810345e-01   1.8826133e-07   1.8482267e-01  -1.0203004e-02   1.8482267e-01  -1.0203003e-02  -5.5934341e-02
   1.8103448e-01   2.4022487e-07  -6.5288575e-02  -5.0588555e-02  -6.5288575e-02  -5.0588555e-02  -2.0100522e-02
   1.9396552e-01   3.0653123e-07   6.1799115e-02   1.0270711e-01   6.1799115e-02   1.0270711e-01   1.7893686e-02
   2.0689655e-01   3.9113938e-07   1.5767505e-01   5.9537975e-02   1.5767505e-01   5.9537976e-02  -3.1775236e-02
   2.1982759e-01   4.9910095e-07   5.1839212e-02  -2.6278925e-02   5.1839212e-02  -2.6278924e-02  -2.2111547e-02
